run_id,job,runner_labels,job_s,step,step_s
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Set up job,1.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Run actions/checkout@v7,2.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Install Rust,0.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Install DuckDB CLI (Unix),1.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Install DuckDB CLI (Windows),0.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Verify DuckDB,0.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Test,119.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Doc tests,0.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Post Run actions/checkout@v7,1.0
36109820575,test ubuntu-latest,ubuntu-latest,126.0,Complete job,0.0
36109820575,test macos-latest,macos-latest,178.0,Set up job,1.0
36109820575,test macos-latest,macos-latest,178.0,Run actions/checkout@v7,2.0
36109820575,test macos-latest,macos-latest,178.0,Install Rust,0.0
36109820575,test macos-latest,macos-latest,178.0,Install DuckDB CLI (Unix),2.0
36109820575,test macos-latest,macos-latest,178.0,Install DuckDB CLI (Windows),0.0
36109820575,test macos-latest,macos-latest,178.0,Verify DuckDB,0.0
36109820575,test macos-latest,macos-latest,178.0,Test,164.0
36109820575,test macos-latest,macos-latest,178.0,Doc tests,2.0
36109820575,test macos-latest,macos-latest,178.0,Post Run actions/checkout@v7,1.0
36109820575,test macos-latest,macos-latest,178.0,Complete job,2.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Set up job,1.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Run actions/checkout@v7,8.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Install Rust,6.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Install DuckDB CLI (Unix),0.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Install DuckDB CLI (Windows),2.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Verify DuckDB,0.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Test,208.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Doc tests,1.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Post Run actions/checkout@v7,5.0
36109820575,test windows-11-arm,windows-11-arm,233.0,Complete job,0.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Set up job,1.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Run actions/checkout@v7,1.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Install Rust,2.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Rustdoc (deny warnings),18.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Post Run actions/checkout@v7,0.0
36109820575,doc (ubuntu),ubuntu-latest,26.0,Complete job,0.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Set up job,1.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Run actions/checkout@v7,1.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Install Rust 1.85.0,7.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Check on the advertised MSRV,17.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Post Run actions/checkout@v7,0.0
36109820575,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Complete job,0.0
36109820575,test windows-latest,windows-latest,246.0,Set up job,1.0
36109820575,test windows-latest,windows-latest,246.0,Run actions/checkout@v7,4.0
36109820575,test windows-latest,windows-latest,246.0,Install Rust,4.0
36109820575,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Unix),0.0
36109820575,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Windows),1.0
36109820575,test windows-latest,windows-latest,246.0,Verify DuckDB,1.0
36109820575,test windows-latest,windows-latest,246.0,Test,231.0
36109820575,test windows-latest,windows-latest,246.0,Doc tests,1.0
36109820575,test windows-latest,windows-latest,246.0,Post Run actions/checkout@v7,2.0
36109820575,test windows-latest,windows-latest,246.0,Complete job,0.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Set up job,1.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Run actions/checkout@v7,1.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Install Rust + components,8.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Format,1.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Clippy,16.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Package (locked),10.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Post Run actions/checkout@v7,0.0
36109820575,lint (ubuntu),ubuntu-latest,40.0,Complete job,0.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Set up job,0.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Run actions/checkout@v7,1.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Install Rust,1.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Rustdoc (deny warnings),17.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Post Run actions/checkout@v7,0.0
36104974121,doc (ubuntu),ubuntu-latest,22.0,Complete job,0.0
36104974121,test windows-latest,windows-latest,251.0,Set up job,1.0
36104974121,test windows-latest,windows-latest,251.0,Run actions/checkout@v7,5.0
36104974121,test windows-latest,windows-latest,251.0,Install Rust,4.0
36104974121,test windows-latest,windows-latest,251.0,Install DuckDB CLI (Unix),0.0
36104974121,test windows-latest,windows-latest,251.0,Install DuckDB CLI (Windows),2.0
36104974121,test windows-latest,windows-latest,251.0,Verify DuckDB,0.0
36104974121,test windows-latest,windows-latest,251.0,Test,234.0
36104974121,test windows-latest,windows-latest,251.0,Doc tests,1.0
36104974121,test windows-latest,windows-latest,251.0,Post Run actions/checkout@v7,2.0
36104974121,test windows-latest,windows-latest,251.0,Complete job,0.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Set up job,1.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Run actions/checkout@v7,8.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Install Rust,6.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Install DuckDB CLI (Unix),0.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Install DuckDB CLI (Windows),1.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Verify DuckDB,1.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Test,197.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Doc tests,1.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Post Run actions/checkout@v7,5.0
36104974121,test windows-11-arm,windows-11-arm,222.0,Complete job,0.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Set up job,0.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Run actions/checkout@v7,2.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Install Rust + components,8.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Format,0.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Clippy,16.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Package (locked),10.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Post Run actions/checkout@v7,0.0
36104974121,lint (ubuntu),ubuntu-latest,39.0,Complete job,0.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Set up job,0.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Run actions/checkout@v7,2.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Install Rust 1.85.0,6.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Check on the advertised MSRV,14.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Post Run actions/checkout@v7,1.0
36104974121,"msrv (1.85.0, ubuntu)",ubuntu-latest,25.0,Complete job,0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Set up job,1.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Run actions/checkout@v7,2.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Install Rust,0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Install DuckDB CLI (Unix),1.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Install DuckDB CLI (Windows),0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Verify DuckDB,0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Test,123.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Doc tests,0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Post Run actions/checkout@v7,0.0
36104974121,test ubuntu-latest,ubuntu-latest,129.0,Complete job,0.0
36104974121,test macos-latest,macos-latest,190.0,Set up job,0.0
36104974121,test macos-latest,macos-latest,190.0,Run actions/checkout@v7,2.0
36104974121,test macos-latest,macos-latest,190.0,Install Rust,0.0
36104974121,test macos-latest,macos-latest,190.0,Install DuckDB CLI (Unix),2.0
36104974121,test macos-latest,macos-latest,190.0,Install DuckDB CLI (Windows),0.0
36104974121,test macos-latest,macos-latest,190.0,Verify DuckDB,0.0
36104974121,test macos-latest,macos-latest,190.0,Test,178.0
36104974121,test macos-latest,macos-latest,190.0,Doc tests,2.0
36104974121,test macos-latest,macos-latest,190.0,Post Run actions/checkout@v7,2.0
36104974121,test macos-latest,macos-latest,190.0,Complete job,2.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Set up job,1.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Run actions/checkout@v7,1.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Install Rust + components,8.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Format,1.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Clippy,16.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Package (locked),10.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Post Run actions/checkout@v7,0.0
36084211754,lint (ubuntu),ubuntu-latest,40.0,Complete job,0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Set up job,1.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Run actions/checkout@v7,1.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Install Rust,0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Install DuckDB CLI (Unix),1.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Install DuckDB CLI (Windows),0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Verify DuckDB,0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Test,113.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Doc tests,0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Post Run actions/checkout@v7,0.0
36084211754,test ubuntu-latest,ubuntu-latest,120.0,Complete job,0.0
36084211754,test windows-latest,windows-latest,247.0,Set up job,1.0
36084211754,test windows-latest,windows-latest,247.0,Run actions/checkout@v7,7.0
36084211754,test windows-latest,windows-latest,247.0,Install Rust,4.0
36084211754,test windows-latest,windows-latest,247.0,Install DuckDB CLI (Unix),0.0
36084211754,test windows-latest,windows-latest,247.0,Install DuckDB CLI (Windows),1.0
36084211754,test windows-latest,windows-latest,247.0,Verify DuckDB,1.0
36084211754,test windows-latest,windows-latest,247.0,Test,228.0
36084211754,test windows-latest,windows-latest,247.0,Doc tests,1.0
36084211754,test windows-latest,windows-latest,247.0,Post Run actions/checkout@v7,2.0
36084211754,test windows-latest,windows-latest,247.0,Complete job,0.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Set up job,1.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Run actions/checkout@v7,8.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Install Rust,9.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Install DuckDB CLI (Unix),0.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Install DuckDB CLI (Windows),2.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Verify DuckDB,1.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Test,192.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Doc tests,1.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Post Run actions/checkout@v7,4.0
36084211754,test windows-11-arm,windows-11-arm,221.0,Complete job,0.0
36084211754,doc (ubuntu),ubuntu-latest,23.0,Set up job,1.0
