attempt,job,step,step_s
1,clippy-windows,Set up job,1.0
1,clippy-windows,Run actions/checkout@v7,2.0
1,clippy-windows,Install dagger CLI,1.0
1,clippy-windows,Pull images,25.0
1,clippy-windows,Prove the CLI sandbox has no route,6.0
1,clippy-windows,Start engine,22.0
1,clippy-windows,Load module,1.0
1,clippy-windows,Checks (clippy-windows),41.0
1,clippy-windows,Assert no Dagger Cloud trace,0.0
1,clippy-windows,Post Run actions/checkout@v7,1.0
1,clippy-windows,Complete job,0.0
1,doc,Set up job,1.0
1,doc,Run actions/checkout@v7,1.0
1,doc,Install dagger CLI,1.0
1,doc,Pull images,11.0
1,doc,Prove the CLI sandbox has no route,5.0
1,doc,Start engine,23.0
1,doc,Load module,0.0
1,doc,Checks (doc),28.0
1,doc,Assert no Dagger Cloud trace,0.0
1,doc,Post Run actions/checkout@v7,0.0
1,doc,Complete job,1.0
1,lint,Set up job,0.0
1,lint,Run actions/checkout@v7,1.0
1,lint,Install dagger CLI,1.0
1,lint,Pull images,16.0
1,lint,Prove the CLI sandbox has no route,5.0
1,lint,Start engine,21.0
1,lint,Load module,1.0
1,lint,Checks (fmt clippy package),41.0
1,lint,Assert no Dagger Cloud trace,0.0
1,lint,Post Run actions/checkout@v7,0.0
1,lint,Complete job,0.0
1,msrv,Set up job,0.0
1,msrv,Run actions/checkout@v7,1.0
1,msrv,Install dagger CLI,1.0
1,msrv,Pull images,7.0
1,msrv,Prove the CLI sandbox has no route,5.0
1,msrv,Start engine,22.0
1,msrv,Load module,1.0
1,msrv,Checks (msrv),34.0
1,msrv,Assert no Dagger Cloud trace,0.0
1,msrv,Post Run actions/checkout@v7,0.0
1,msrv,Complete job,0.0
1,test,Set up job,1.0
1,test,Run actions/checkout@v7,0.0
1,test,Install dagger CLI,1.0
1,test,Pull images,8.0
1,test,Prove the CLI sandbox has no route,5.0
1,test,Start engine,23.0
1,test,Load module,0.0
1,test,Checks (test),132.0
1,test,Assert no Dagger Cloud trace,0.0
1,test,Post Run actions/checkout@v7,0.0
1,test,Complete job,0.0
2,clippy-windows,Set up job,1.0
2,clippy-windows,Run actions/checkout@v7,1.0
2,clippy-windows,Install dagger CLI,1.0
2,clippy-windows,Pull images,15.0
2,clippy-windows,Prove the CLI sandbox has no route,5.0
2,clippy-windows,Start engine,23.0
2,clippy-windows,Load module,0.0
2,clippy-windows,Checks (clippy-windows),52.0
2,clippy-windows,Assert no Dagger Cloud trace,0.0
2,clippy-windows,Post Run actions/checkout@v7,0.0
2,clippy-windows,Complete job,0.0
2,doc,Set up job,1.0
2,doc,Run actions/checkout@v7,1.0
2,doc,Install dagger CLI,1.0
2,doc,Pull images,9.0
2,doc,Prove the CLI sandbox has no route,5.0
2,doc,Start engine,23.0
2,doc,Load module,0.0
2,doc,Checks (doc),29.0
2,doc,Assert no Dagger Cloud trace,0.0
2,doc,Post Run actions/checkout@v7,0.0
2,doc,Complete job,0.0
2,lint,Set up job,0.0
2,lint,Run actions/checkout@v7,1.0
2,lint,Install dagger CLI,2.0
2,lint,Pull images,21.0
2,lint,Prove the CLI sandbox has no route,6.0
2,lint,Start engine,23.0
2,lint,Load module,1.0
2,lint,Checks (fmt clippy package),39.0
2,lint,Assert no Dagger Cloud trace,0.0
2,lint,Post Run actions/checkout@v7,0.0
2,lint,Complete job,0.0
2,msrv,Set up job,1.0
2,msrv,Run actions/checkout@v7,1.0
2,msrv,Install dagger CLI,1.0
2,msrv,Pull images,17.0
2,msrv,Prove the CLI sandbox has no route,5.0
2,msrv,Start engine,23.0
2,msrv,Load module,1.0
2,msrv,Checks (msrv),35.0
2,msrv,Assert no Dagger Cloud trace,0.0
2,msrv,Post Run actions/checkout@v7,0.0
2,msrv,Complete job,0.0
2,test,Set up job,1.0
2,test,Run actions/checkout@v7,1.0
2,test,Install dagger CLI,1.0
2,test,Pull images,11.0
2,test,Prove the CLI sandbox has no route,5.0
2,test,Start engine,22.0
2,test,Load module,1.0
2,test,Checks (test),134.0
2,test,Assert no Dagger Cloud trace,0.0
2,test,Post Run actions/checkout@v7,0.0
2,test,Complete job,0.0
3,clippy-windows,Set up job,1.0
3,clippy-windows,Run actions/checkout@v7,1.0
3,clippy-windows,Install dagger CLI,1.0
3,clippy-windows,Pull images,12.0
3,clippy-windows,Prove the CLI sandbox has no route,5.0
3,clippy-windows,Start engine,22.0
3,clippy-windows,Load module,0.0
3,clippy-windows,Checks (clippy-windows),50.0
3,clippy-windows,Assert no Dagger Cloud trace,0.0
3,clippy-windows,Post Run actions/checkout@v7,0.0
3,clippy-windows,Complete job,0.0
3,doc,Set up job,1.0
3,doc,Run actions/checkout@v7,1.0
3,doc,Install dagger CLI,1.0
3,doc,Pull images,11.0
3,doc,Prove the CLI sandbox has no route,5.0
3,doc,Start engine,22.0
3,doc,Load module,1.0
3,doc,Checks (doc),29.0
3,doc,Assert no Dagger Cloud trace,0.0
3,doc,Post Run actions/checkout@v7,0.0
3,doc,Complete job,0.0
3,lint,Set up job,1.0
3,lint,Run actions/checkout@v7,1.0
3,lint,Install dagger CLI,0.0
3,lint,Pull images,12.0
3,lint,Prove the CLI sandbox has no route,5.0
3,lint,Start engine,23.0
3,lint,Load module,1.0
3,lint,Checks (fmt clippy package),40.0
3,lint,Assert no Dagger Cloud trace,0.0
3,lint,Post Run actions/checkout@v7,0.0
3,lint,Complete job,0.0
3,msrv,Set up job,2.0
3,msrv,Run actions/checkout@v7,2.0
3,msrv,Install dagger CLI,1.0
3,msrv,Pull images,24.0
3,msrv,Prove the CLI sandbox has no route,5.0
3,msrv,Start engine,23.0
3,msrv,Load module,1.0
3,msrv,Checks (msrv),37.0
3,msrv,Assert no Dagger Cloud trace,0.0
3,msrv,Post Run actions/checkout@v7,0.0
3,msrv,Complete job,0.0
3,test,Set up job,1.0
3,test,Run actions/checkout@v7,1.0
3,test,Install dagger CLI,1.0
3,test,Pull images,11.0
3,test,Prove the CLI sandbox has no route,6.0
3,test,Start engine,21.0
3,test,Load module,1.0
3,test,Checks (test),130.0
3,test,Assert no Dagger Cloud trace,0.0
3,test,Post Run actions/checkout@v7,1.0
3,test,Complete job,0.0
4,clippy-windows,Set up job,0.0
4,clippy-windows,Run actions/checkout@v7,1.0
4,clippy-windows,Install dagger CLI,1.0
4,clippy-windows,Pull images,10.0
4,clippy-windows,Prove the CLI sandbox has no route,5.0
4,clippy-windows,Start engine,22.0
4,clippy-windows,Load module,1.0
4,clippy-windows,Checks (clippy-windows),48.0
4,clippy-windows,Assert no Dagger Cloud trace,0.0
4,clippy-windows,Post Run actions/checkout@v7,0.0
4,clippy-windows,Complete job,0.0
4,doc,Set up job,0.0
4,doc,Run actions/checkout@v7,1.0
4,doc,Install dagger CLI,1.0
4,doc,Pull images,13.0
4,doc,Prove the CLI sandbox has no route,5.0
4,doc,Start engine,21.0
4,doc,Load module,0.0
4,doc,Checks (doc),26.0
4,doc,Assert no Dagger Cloud trace,0.0
4,doc,Post Run actions/checkout@v7,1.0
4,doc,Complete job,0.0
4,lint,Set up job,0.0
4,lint,Run actions/checkout@v7,1.0
4,lint,Install dagger CLI,1.0
4,lint,Pull images,10.0
4,lint,Prove the CLI sandbox has no route,5.0
4,lint,Start engine,22.0
4,lint,Load module,1.0
4,lint,Checks (fmt clippy package),45.0
4,lint,Assert no Dagger Cloud trace,0.0
4,lint,Post Run actions/checkout@v7,0.0
4,lint,Complete job,0.0
4,msrv,Set up job,1.0
4,msrv,Run actions/checkout@v7,1.0
4,msrv,Install dagger CLI,1.0
4,msrv,Pull images,11.0
4,msrv,Prove the CLI sandbox has no route,5.0
4,msrv,Start engine,22.0
4,msrv,Load module,1.0
4,msrv,Checks (msrv),36.0
4,msrv,Assert no Dagger Cloud trace,0.0
4,msrv,Post Run actions/checkout@v7,0.0
4,msrv,Complete job,0.0
4,test,Set up job,1.0
4,test,Run actions/checkout@v7,1.0
4,test,Install dagger CLI,1.0
4,test,Pull images,21.0
4,test,Prove the CLI sandbox has no route,5.0
4,test,Start engine,21.0
4,test,Load module,0.0
4,test,Checks (test),116.0
4,test,Assert no Dagger Cloud trace,0.0
4,test,Post Run actions/checkout@v7,0.0
4,test,Complete job,0.0
5,clippy-windows,Set up job,0.0
5,clippy-windows,Run actions/checkout@v7,1.0
5,clippy-windows,Install dagger CLI,1.0
5,clippy-windows,Pull images,7.0
5,clippy-windows,Prove the CLI sandbox has no route,5.0
5,clippy-windows,Start engine,23.0
5,clippy-windows,Load module,0.0
5,clippy-windows,Checks (clippy-windows),50.0
5,clippy-windows,Assert no Dagger Cloud trace,0.0
5,clippy-windows,Post Run actions/checkout@v7,0.0
5,clippy-windows,Complete job,0.0
5,doc,Set up job,0.0
5,doc,Run actions/checkout@v7,1.0
5,doc,Install dagger CLI,1.0
5,doc,Pull images,14.0
5,doc,Prove the CLI sandbox has no route,5.0
5,doc,Start engine,21.0
5,doc,Load module,0.0
5,doc,Checks (doc),26.0
5,doc,Assert no Dagger Cloud trace,0.0
5,doc,Post Run actions/checkout@v7,0.0
5,doc,Complete job,0.0
5,lint,Set up job,0.0
5,lint,Run actions/checkout@v7,1.0
5,lint,Install dagger CLI,1.0
5,lint,Pull images,10.0
5,lint,Prove the CLI sandbox has no route,5.0
5,lint,Start engine,24.0
5,lint,Load module,0.0
5,lint,Checks (fmt clippy package),49.0
5,lint,Assert no Dagger Cloud trace,0.0
5,lint,Post Run actions/checkout@v7,0.0
5,lint,Complete job,0.0
5,msrv,Set up job,1.0
5,msrv,Run actions/checkout@v7,1.0
5,msrv,Install dagger CLI,0.0
5,msrv,Pull images,11.0
5,msrv,Prove the CLI sandbox has no route,5.0
5,msrv,Start engine,22.0
5,msrv,Load module,1.0
5,msrv,Checks (msrv),35.0
5,msrv,Assert no Dagger Cloud trace,0.0
5,msrv,Post Run actions/checkout@v7,1.0
5,msrv,Complete job,0.0
5,test,Set up job,0.0
5,test,Run actions/checkout@v7,1.0
5,test,Install dagger CLI,1.0
5,test,Pull images,16.0
5,test,Prove the CLI sandbox has no route,5.0
5,test,Start engine,23.0
5,test,Load module,0.0
5,test,Checks (test),131.0
5,test,Assert no Dagger Cloud trace,0.0
5,test,Post Run actions/checkout@v7,1.0
5,test,Complete job,0.0
6,clippy-windows,Set up job,1.0
6,clippy-windows,Run actions/checkout@v7,1.0
6,clippy-windows,Install dagger CLI,1.0
6,clippy-windows,Pull images,14.0
6,clippy-windows,Prove the CLI sandbox has no route,5.0
6,clippy-windows,Start engine,23.0
6,clippy-windows,Load module,0.0
6,clippy-windows,Checks (clippy-windows),50.0
6,clippy-windows,Assert no Dagger Cloud trace,0.0
6,clippy-windows,Post Run actions/checkout@v7,1.0
6,clippy-windows,Complete job,0.0
6,doc,Set up job,0.0
6,doc,Run actions/checkout@v7,1.0
6,doc,Install dagger CLI,1.0
6,doc,Pull images,18.0
6,doc,Prove the CLI sandbox has no route,5.0
6,doc,Start engine,21.0
6,doc,Load module,1.0
6,doc,Checks (doc),26.0
6,doc,Assert no Dagger Cloud trace,0.0
6,doc,Post Run actions/checkout@v7,0.0
6,doc,Complete job,0.0
6,lint,Set up job,1.0
6,lint,Run actions/checkout@v7,1.0
6,lint,Install dagger CLI,1.0
6,lint,Pull images,19.0
6,lint,Prove the CLI sandbox has no route,5.0
6,lint,Start engine,22.0
6,lint,Load module,1.0
6,lint,Checks (fmt clippy package),41.0
6,lint,Assert no Dagger Cloud trace,0.0
6,lint,Post Run actions/checkout@v7,0.0
6,lint,Complete job,0.0
6,msrv,Set up job,1.0
6,msrv,Run actions/checkout@v7,1.0
6,msrv,Install dagger CLI,1.0
6,msrv,Pull images,24.0
6,msrv,Prove the CLI sandbox has no route,6.0
6,msrv,Start engine,24.0
6,msrv,Load module,0.0
6,msrv,Checks (msrv),36.0
6,msrv,Assert no Dagger Cloud trace,0.0
6,msrv,Post Run actions/checkout@v7,1.0
6,msrv,Complete job,0.0
6,test,Set up job,1.0
6,test,Run actions/checkout@v7,0.0
6,test,Install dagger CLI,1.0
6,test,Pull images,10.0
6,test,Prove the CLI sandbox has no route,5.0
6,test,Start engine,22.0
6,test,Load module,1.0
6,test,Checks (test),129.0
