attempt,side,job,conclusion,queue_s,job_s,setup_s,compile_s,exec_s,runner
1,dagger,clippy-windows,success,2.0,102.0,79.2,20.73,2.0,GitHub Actions 1000000820
1,native,clippy-windows,success,2.0,32.0,13.0,18.31,0.7,GitHub Actions 1000000817
1,dagger,doc,success,2.0,74.0,63.2,10.62,0.1,GitHub Actions 1000000821
1,native,doc,success,2.0,24.0,14.1,9.68,0.3,GitHub Actions 1000000819
1,dagger,lint,success,2.0,89.0,63.4,22.34,3.2,GitHub Actions 1000000812
1,native,lint,success,2.0,41.0,14.0,26.54,0.5,GitHub Actions 1000000814
1,dagger,msrv,success,2.0,73.0,54.9,17.6,0.5,GitHub Actions 1000000813
1,native,msrv,success,2.0,28.0,10.0,17.49,0.5,GitHub Actions 1000000816
1,dagger,test,success,2.0,173.0,57.7,35.52,79.8,GitHub Actions 1000000822
1,native,test,success,2.0,127.0,14.2,33.39,79.4,GitHub Actions 1000000818
2,dagger,clippy-windows,success,4.0,101.0,71.5,28.67,0.8,GitHub Actions 1000000835
2,native,clippy-windows,success,4.0,42.0,16.0,26.13,-0.1,GitHub Actions 1000000828
2,dagger,doc,success,4.0,73.0,60.8,10.14,2.0,GitHub Actions 1000000837
2,native,doc,success,4.0,23.0,13.4,9.31,0.3,GitHub Actions 1000000826
2,dagger,lint,success,4.0,96.0,71.9,20.63,3.5,GitHub Actions 1000000836
2,native,lint,success,4.0,41.0,15.0,25.38,0.6,GitHub Actions 1000000830
2,dagger,msrv,success,4.0,87.0,68.0,13.83,5.2,GitHub Actions 1000000834
2,native,msrv,success,4.0,25.0,11.0,13.62,0.4,GitHub Actions 1000000827
2,dagger,test,success,4.0,179.0,63.1,36.0,79.9,GitHub Actions 1000000833
2,native,test,success,4.0,125.0,11.9,33.35,79.8,GitHub Actions 1000000829
3,dagger,clippy-windows,success,4.0,95.0,65.8,28.3,0.9,GitHub Actions 1000000867
3,native,clippy-windows,success,5.0,45.0,17.0,27.52,0.5,GitHub Actions 1000000861
3,dagger,doc,success,4.0,75.0,62.9,10.3,1.8,GitHub Actions 1000000866
3,native,doc,success,5.0,23.0,15.9,7.22,-0.1,GitHub Actions 1000000859
3,dagger,lint,success,4.0,84.0,57.3,23.83,2.8,GitHub Actions 1000000869
3,native,lint,success,5.0,42.0,14.0,27.66,0.3,GitHub Actions 1000000858
3,dagger,msrv,success,4.0,98.0,77.0,15.07,5.9,GitHub Actions 1000000865
3,native,msrv,success,5.0,30.0,12.0,17.7,0.3,GitHub Actions 1000000860
3,dagger,test,success,4.0,177.0,63.7,33.85,79.5,GitHub Actions 1000000868
3,native,test,success,4.0,127.0,14.1,33.81,79.1,GitHub Actions 1000000862
4,dagger,clippy-windows,success,4.0,90.0,60.4,28.57,1.1,GitHub Actions 1000000882
4,native,clippy-windows,success,3.0,44.0,17.0,27.02,-0.0,GitHub Actions 1000000871
4,dagger,doc,success,4.0,70.0,60.0,8.93,1.1,GitHub Actions 1000000881
4,native,doc,success,3.0,22.0,12.8,8.99,0.2,GitHub Actions 1000000873
4,dagger,lint,success,4.0,87.0,57.7,28.56,0.7,GitHub Actions 1000000878
4,native,lint,success,3.0,40.0,14.0,25.96,0.0,GitHub Actions 1000000874
4,dagger,msrv,success,4.0,82.0,63.3,18.42,0.3,GitHub Actions 1000000880
4,native,msrv,success,4.0,28.0,10.0,17.95,0.1,GitHub Actions 1000000870
4,dagger,test,success,4.0,168.0,66.3,23.92,77.8,GitHub Actions 1000000879
4,native,test,success,3.0,130.0,12.7,32.96,84.3,GitHub Actions 1000000872
5,dagger,clippy-windows,success,4.0,89.0,58.4,30.38,0.2,GitHub Actions 1000000912
5,native,clippy-windows,success,4.0,43.0,16.0,26.7,0.3,GitHub Actions 1000000903
5,dagger,doc,success,4.0,71.0,58.6,6.28,6.2,GitHub Actions 1000000911
5,native,doc,success,4.0,20.0,13.0,7.47,-0.4,GitHub Actions 1000000904
5,dagger,lint,success,6.0,94.0,63.5,30.07,0.5,GitHub Actions 1000000914
5,native,lint,success,3.0,40.0,13.0,26.8,0.2,GitHub Actions 1000000907
5,dagger,msrv,success,10.0,78.0,59.9,18.28,-0.2,GitHub Actions 1000000915
5,native,msrv,success,4.0,28.0,11.0,16.93,0.1,GitHub Actions 1000000905
5,dagger,test,success,5.0,181.0,67.3,34.74,78.9,GitHub Actions 1000000913
5,native,test,failure,4.0,130.0,15.3,32.14,82.6,GitHub Actions 1000000906
6,dagger,clippy-windows,success,3.0,99.0,70.0,29.56,-0.5,GitHub Actions 1000000937
6,native,clippy-windows,success,5.0,43.0,17.0,25.58,0.4,GitHub Actions 1000000929
6,dagger,doc,success,3.0,76.0,63.2,6.84,5.9,GitHub Actions 1000000938
6,native,doc,success,4.0,21.0,11.1,9.14,0.8,GitHub Actions 1000000927
6,dagger,lint,success,3.0,93.0,67.0,22.59,3.4,GitHub Actions 1000000934
6,native,lint,success,5.0,42.0,14.0,27.12,0.9,GitHub Actions 1000000933
6,dagger,msrv,success,3.0,97.0,77.9,14.31,4.8,GitHub Actions 1000000936
6,native,msrv,success,41.0,29.0,11.0,17.55,0.4,GitHub Actions 1000000928
6,dagger,test,success,4.0,171.0,57.4,34.46,79.2,GitHub Actions 1000000935
6,native,test,success,6.0,133.0,19.0,35.43,78.5,GitHub Actions 1000000932
