workload,run_id,attempt,side,lane,conclusion,job_s,cache_steps_s,work_s
seed,36132267181,1,dagger,clippy-windows,success,111.0,26.0,47.0
seed,36132267181,1,native,lint,success,43.0,4.0,26.0
seed,36132267181,1,dagger,lint,success,103.0,22.0,41.0
seed,36132267181,1,dagger,doc,success,78.0,20.0,25.0
seed,36132267181,1,dagger,test,success,199.0,33.0,130.0
seed,36132267181,1,native,clippy-windows,success,47.0,5.0,24.0
seed,36132267181,1,native,doc,success,24.0,4.0,9.0
seed,36132267181,1,native,msrv,success,38.0,3.0,12.0
seed,36132267181,1,native,test,success,129.0,5.0,108.0
seed,36132267181,1,dagger,msrv,success,89.0,14.0,34.0
oneedit,36132597240,1,dagger,msrv,success,72.0,42.0,4.0
oneedit,36132597240,1,dagger,doc,success,59.0,36.0,3.0
oneedit,36132597240,1,dagger,lint,success,106.0,53.0,5.0
oneedit,36132597240,1,dagger,clippy-windows,success,84.0,51.0,7.0
oneedit,36132597240,1,native,lint,success,22.0,1.0,8.0
oneedit,36132597240,1,dagger,test,success,207.0,65.0,93.0
oneedit,36132597240,1,native,doc,success,19.0,2.0,2.0
oneedit,36132597240,1,native,test,success,109.0,3.0,92.0
oneedit,36132597240,1,native,clippy-windows,success,26.0,2.0,6.0
oneedit,36132597240,1,native,msrv,success,25.0,3.0,3.0
oneedit,36132943227,1,native,msrv,success,27.0,2.0,3.0
oneedit,36132943227,1,native,lint,success,42.0,4.0,25.0
oneedit,36132943227,1,dagger,msrv,success,59.0,35.0,4.0
oneedit,36132943227,1,dagger,lint,success,70.0,42.0,6.0
oneedit,36132943227,1,dagger,clippy-windows,success,71.0,42.0,6.0
oneedit,36132943227,1,dagger,doc,success,87.0,40.0,3.0
oneedit,36132943227,1,native,clippy-windows,success,26.0,1.0,8.0
oneedit,36132943227,1,native,test,success,127.0,4.0,110.0
oneedit,36132943227,1,dagger,test,success,210.0,83.0,86.0
oneedit,36132943227,1,native,doc,success,28.0,3.0,10.0
oneedit,36133279912,1,dagger,test,success,195.0,78.0,90.0
oneedit,36133279912,1,native,lint,success,27.0,3.0,7.0
oneedit,36133279912,1,dagger,msrv,success,62.0,36.0,3.0
oneedit,36133279912,1,native,doc,success,16.0,1.0,4.0
oneedit,36133279912,1,dagger,doc,success,76.0,44.0,3.0
oneedit,36133279912,1,dagger,lint,success,71.0,45.0,5.0
oneedit,36133279912,1,native,msrv,success,22.0,2.0,3.0
oneedit,36133279912,1,native,clippy-windows,success,25.0,2.0,7.0
oneedit,36133279912,1,dagger,clippy-windows,success,102.0,52.0,6.0
oneedit,36133279912,1,native,test,success,112.0,3.0,94.0
oneedit,36133626021,1,native,lint,success,24.0,2.0,8.0
oneedit,36133626021,1,dagger,test,success,178.0,69.0,89.0
oneedit,36133626021,1,dagger,lint,success,103.0,58.0,5.0
oneedit,36133626021,1,dagger,doc,success,90.0,44.0,3.0
oneedit,36133626021,1,native,msrv,success,23.0,2.0,3.0
oneedit,36133626021,1,dagger,msrv,success,81.0,38.0,2.0
oneedit,36133626021,1,native,test,success,116.0,5.0,99.0
oneedit,36133626021,1,dagger,clippy-windows,success,73.0,46.0,6.0
oneedit,36133626021,1,native,clippy-windows,success,28.0,3.0,7.0
oneedit,36133626021,1,native,doc,success,24.0,2.0,9.0
oneedit,36133976553,1,dagger,doc,success,78.0,40.0,4.0
oneedit,36133976553,1,native,doc,success,25.0,2.0,9.0
oneedit,36133976553,1,dagger,test,success,211.0,72.0,90.0
oneedit,36133976553,1,dagger,clippy-windows,success,123.0,51.0,6.0
oneedit,36133976553,1,native,lint,success,45.0,5.0,25.0
oneedit,36133976553,1,native,clippy-windows,success,47.0,3.0,27.0
oneedit,36133976553,1,dagger,lint,success,114.0,50.0,5.0
oneedit,36133976553,1,dagger,msrv,success,86.0,43.0,3.0
oneedit,36133976553,1,native,test,success,108.0,2.0,93.0
oneedit,36133976553,1,native,msrv,success,43.0,5.0,18.0
unchanged,36133976553,2,native,clippy-windows,success,28.0,2.0,7.0
unchanged,36133976553,2,native,lint,success,23.0,2.0,8.0
unchanged,36133976553,2,dagger,test,success,109.0,84.0,1.0
unchanged,36133976553,2,dagger,msrv,success,69.0,44.0,0.0
unchanged,36133976553,2,dagger,doc,success,67.0,40.0,1.0
unchanged,36133976553,2,native,test,success,108.0,2.0,92.0
unchanged,36133976553,2,native,msrv,success,30.0,3.0,4.0
unchanged,36133976553,2,native,doc,success,17.0,2.0,1.0
unchanged,36133976553,2,dagger,clippy-windows,success,75.0,47.0,1.0
unchanged,36133976553,2,dagger,lint,success,74.0,45.0,1.0
unchanged,36133976553,3,dagger,test,success,98.0,71.0,1.0
unchanged,36133976553,3,dagger,doc,success,57.0,35.0,1.0
unchanged,36133976553,3,native,doc,success,27.0,5.0,8.0
unchanged,36133976553,3,native,clippy-windows,success,46.0,5.0,26.0
unchanged,36133976553,3,dagger,lint,success,70.0,44.0,0.0
unchanged,36133976553,3,dagger,msrv,success,58.0,36.0,1.0
unchanged,36133976553,3,native,test,success,126.0,5.0,108.0
unchanged,36133976553,3,dagger,clippy-windows,success,83.0,57.0,0.0
unchanged,36133976553,3,native,lint,success,42.0,3.0,26.0
unchanged,36133976553,3,native,msrv,success,28.0,2.0,3.0
unchanged,36133976553,4,native,clippy-windows,success,26.0,1.0,8.0
unchanged,36133976553,4,native,msrv,success,24.0,1.0,4.0
unchanged,36133976553,4,native,doc,success,19.0,4.0,2.0
