round,side,workload,wall_s,failed,crates_compiled,failed_tests
1,baseline,cold,168.2,False,239,
1,baseline,oneedit,93.4,False,2,
1,baseline,unchanged,85.5,False,1,
1,dagger,cold,177.4,False,239,
1,dagger,oneedit,86.4,False,2,
1,dagger,unchanged,0.7,False,0,
2,baseline,cold,169.0,True,239,exec_oversized_output_is_quiet_and_leaves_breadcrumb
2,baseline,oneedit,93.8,False,2,
2,baseline,unchanged,85.6,True,1,exec_oversized_output_is_quiet_and_leaves_breadcrumb push_to_session_without_stdin_fails
2,dagger,cold,176.8,False,239,
2,dagger,oneedit,87.0,False,2,
2,dagger,unchanged,0.7,False,0,
3,baseline,cold,164.7,False,239,
3,baseline,oneedit,93.6,False,2,
3,baseline,unchanged,86.4,True,1,exec_oversized_output_is_quiet_and_leaves_breadcrumb
3,dagger,cold,155.3,True,239,push_to_session_without_stdin_fails
3,dagger,oneedit,86.3,True,2,harness_deadline_reports_timeout_with_command_and_deadline
3,dagger,unchanged,80.8,False,0,
4,baseline,cold,171.6,True,239,harness_deadline_reports_timeout_with_command_and_deadline
4,baseline,oneedit,91.4,False,2,
4,baseline,unchanged,85.8,True,1,push_to_session_without_stdin_fails
4,dagger,cold,173.2,False,239,
4,dagger,oneedit,84.3,True,2,push_to_session_without_stdin_fails
4,dagger,unchanged,0.7,False,0,
5,baseline,cold,148.5,True,239,exec_oversized_output_is_quiet_and_leaves_breadcrumb
5,baseline,oneedit,90.6,False,2,
5,baseline,unchanged,84.5,False,1,
5,dagger,cold,145.2,False,239,
5,dagger,oneedit,83.5,False,2,
5,dagger,unchanged,0.7,False,0,
